129.58,158.67,176.28,188.38,197.18,203.89,209.46,214.46,219.57,224.14,224.76,224.75,228.37,235.48,239.38,237.7,234.89,236.7,241.25,245.26,248.18,248.24,246.2,247.42,249.04,250.34,251.38,252.22,252.98,253.84,254.94,254.69,254.2,254.32,254.41,254.59,254.97,255.68,256.88
135.41,163.45,180.43,192.04,200.43,206.86,212.24,217.21,222.42,226.03,225.63,226.62,231.97,238.73,240.25,236.81,235.91,239.92,244.29,247.91,249.35,247.43,247.38,249.19,250.59,251.71,252.6,253.37,254.2,255.29,255.34,254.69,254.8,254.87,255.04,255.42,256.15,257.41,259.4
139.95,167.2,183.67,194.88,202.94,209.14,214.37,219.3,224.48,227.3,226.58,228.28,234.55,240.5,240.55,236.88,237.35,241.94,246.19,249.39,249.62,247.43,248.69,250.31,251.6,252.62,253.44,254.21,255.14,256.15,255.29,255.19,255.26,255.36,255.63,256.18,257.19,258.87,261.49
143.4,170.05,186.11,197,204.83,210.84,215.91,220.76,225.84,228.36,227.56,229.39,235.83,241.51,241.12,237.45,238.26,242.91,247.12,250.17,250.04,247.92,249.39,250.96,252.21,253.19,253.99,254.75,255.71,256.57,255.63,255.62,255.67,255.77,256.06,256.66,257.75,259.56,262.36
145.94,172.15,187.9,198.56,206.18,212.05,216.99,221.68,226.66,229.32,228.48,229.93,235.98,242,242.16,238.33,238.5,243.01,247.25,250.48,250.81,248.52,249.6,251.22,252.49,253.49,254.3,255.04,255.93,256.96,256.13,255.97,256.04,256.1,256.33,256.84,257.79,259.4,261.92
147.79,173.67,189.19,199.68,207.17,212.91,217.71,222.23,227.05,230.16,229.41,230.16,235.29,241.94,243.36,239.66,238.49,242.39,246.72,250.29,251.63,249.57,249.41,251.16,252.51,253.58,254.41,255.14,255.92,256.97,256.96,256.3,256.37,256.4,256.52,256.86,257.55,258.78,260.74
149.15,174.79,190.14,200.48,207.87,213.5,218.2,222.51,227.13,230.78,230.46,230.39,234.2,241.16,244.23,241.57,238.83,241.22,245.67,249.54,252,251.16,249.3,250.84,252.3,253.47,254.38,255.13,255.83,256.68,257.67,256.86,256.66,256.7,256.73,256.91,257.32,258.12,259.49
150.16,175.62,190.84,201.08,208.41,213.93,218.53,222.66,227.02,231.08,231.56,230.79,233.2,239.64,244.42,243.67,239.9,240.07,244.3,248.35,251.57,252.47,250.29,250.24,251.9,253.19,254.22,255.03,255.71,256.42,257.33,257.94,257.02,256.98,257,257.05,257.24,257.69,258.54
150.94,176.27,191.37,201.53,208.8,214.27,218.76,222.74,226.83,231.05,232.54,231.42,232.57,237.67,243.78,245.23,241.79,239.8,242.63,246.82,250.48,252.82,252.15,250.08,251.32,252.75,253.91,254.83,255.56,256.21,256.92,257.87,258.05,257.26,257.28,257.28,257.33,257.53,257.99
151.56,176.77,191.79,201.88,209.11,214.52,218.93,222.8,226.63,230.77,233.23,232.33,232.4,235.88,242.34,245.82,244.17,240.63,241.07,245.14,248.99,252.15,253.36,251.53,250.57,252.17,253.47,254.51,255.34,256.02,256.65,257.37,258.32,258.16,257.52,257.54,257.54,257.59,257.78
152.05,177.17,192.13,202.16,209.35,214.73,219.06,222.82,226.43,230.39,233.57,233.43,232.61,234.62,240.24,245.42,246.04,242.46,240.65,243.27,247.27,250.81,253.34,253.34,251.08,251.38,252.89,254.07,255.03,255.8,256.43,257.04,257.76,258.69,258.31,257.77,257.8,257.78,257.82
152.44,177.5,192.4,202.38,209.55,214.89,219.16,222.84,226.27,229.97,233.55,234.38,233.23,233.95,238.08,244.15,246.85,244.88,241.47,241.7,245.46,249.18,252.33,254.05,252.98,251.06,252.17,253.51,254.61,255.49,256.2,256.79,257.38,258.11,258.99,258.49,258.01,258.03,258.01
152.77,177.78,192.63,202.57,209.71,215.04,219.25,222.84,226.13,229.59,233.24,235.11,234.12,233.86,236.44,242.14,246.6,246.83,243.3,241.4,243.53,247.39,250.83,253.54,254.34,252.51,251.41,252.84,254.07,255.08,255.9,256.55,257.12,257.7,258.42,259.26,258.69,258.24,258.26
153.04,178,192.82,202.72,209.84,215.15,219.32,222.86,226.02,229.27,232.8,235.42,235.12,234.14,235.45,239.88,245.47,247.71,245.69,242.31,242.15,245.52,249.1,252.26,254.43,254.3,252.12,251.99,253.42,254.57,255.5,256.26,256.88,257.42,257.98,258.71,259.5,258.88,258.45
153.26,178.19,192.98,202.85,209.94,215.25,219.38,222.86,225.95,228.98,232.33,235.41,236.02,234.8,235.02,238.02,243.6,247.54,247.59,244.2,242.08,243.62,247.29,250.65,253.49,254.98,254.02,251.99,252.62,253.95,255.01,255.89,256.6,257.18,257.7,258.25,258.95,259.72,259.08
153.45,178.34,193.11,202.96,210.03,215.33,219.44,222.86,225.87,228.76,231.89,235.1,236.63,235.65,235.09,236.78,241.38,246.52,248.46,246.53,243.15,242.55,245.42,248.9,252.03,254.48,255.23,253.63,252.12,253.22,254.42,255.42,256.24,256.9,257.46,257.96,258.5,259.19,259.92
153.6,178.47,193.22,203.05,210.11,215.39,219.48,222.86,225.83,228.58,231.5,234.67,236.93,236.6,235.48,236.14,239.41,244.78,248.32,248.32,245.1,242.77,243.68,247.09,250.36,253.24,255.24,255.24,253.25,252.44,253.73,254.85,255.79,256.56,257.18,257.71,258.2,258.72,259.4
